"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO","Attendance"
"2020-01-11 - Kings 0, Hurricanes 2","Carolina Hurricanes","Limited ReportFull Report","60","58","74","43.94","46","58","44.23","30","41","42.25","2","0","100.00","3.55","3.34","51.50","22","26","45.83","10","14","41.67","4","9","30.77","1","0","100.00","25.00","100.00","12","12","50.00","7","8","46.67","0","0","-","0.00","100.00","27","42","39.13","15","22","40.54","0","0","-","0.00","100.00","6.67","100.00","1.067","18680"
"2020-01-13 - Hurricanes 0, Capitals 2","Carolina Hurricanes","Limited ReportFull Report","60","47","52","47.47","32","41","43.84","23","30","43.40","0","2","0.00","1.97","2.41","45.03","21","25","45.65","5","9","35.71","4","7","36.36","0","1","0.00","0.00","85.71","16","16","50.00","6","9","40.00","0","0","-","0.00","100.00","19","21","47.50","9","12","42.86","0","1","0.00","0.00","91.67","0.00","93.33","0.933","18573"
"2020-01-16 - Hurricanes 2, Blue Jackets 3","Carolina Hurricanes","Limited ReportFull Report","60","73","31","70.19","47","22","68.12","34","18","65.38","2","3","40.00","3.12","1.24","71.49","38","14","73.08","10","2","83.33","8","2","80.00","1","0","100.00","12.50","100.00","28","12","70.00","14","8","63.64","1","2","33.33","7.14","75.00","30","15","66.67","10","7","58.82","0","1","0.00","0.00","85.71","5.88","83.33","0.892","17900"
"2020-01-17 - Ducks 2, Hurricanes 1","Carolina Hurricanes","Limited ReportFull Report","61.6","52","64","44.83","36","50","41.86","26","37","41.27","1","2","33.33","2.48","3.14","44.20","23","26","46.94","13","15","46.43","9","10","47.37","1","2","33.33","11.11","80.00","10","11","47.62","2","6","25.00","0","0","-","0.00","100.00","24","34","41.38","13","19","40.63","0","0","-","0.00","100.00","3.85","94.59","0.984","16913"
"2020-01-19 - Islanders 1, Hurricanes 2","Carolina Hurricanes","Limited ReportFull Report","65","63","62","50.40","43","46","48.31","32","27","54.24","1","1","50.00","2.32","2.84","44.99","27","33","45.00","10","12","45.45","8","7","53.33","0","1","0.00","0.00","85.71","17","21","44.74","6","10","37.50","1","0","100.00","16.67","100.00","28","25","52.83","15","9","62.50","0","0","-","0.00","100.00","3.13","96.30","0.994","18680"
"2020-01-21 - Jets 1, Hurricanes 4","Carolina Hurricanes","Limited ReportFull Report","60","52","43","54.74","44","29","60.27","29","17","63.04","4","1","80.00","5.16","2.19","70.22","35","20","63.64","23","11","67.65","18","7","72.00","4","1","80.00","22.22","85.71","12","9","57.14","2","4","33.33","0","0","-","0.00","100.00","13","19","40.63","7","5","58.33","0","0","-","0.00","100.00","13.79","94.12","1.079","14607"
"2020-01-31 - Golden Knights 4, Hurricanes 3","Carolina Hurricanes","Limited ReportFull Report","60","50","57","46.73","33","47","41.25","25","37","40.32","3","4","42.86","2.77","3.9","41.52","24","29","45.28","15","15","50.00","11","14","44.00","3","3","50.00","27.27","78.57","9","14","39.13","4","8","33.33","0","1","0.00","0.00","87.50","23","24","48.94","10","14","41.67","0","0","-","0.00","100.00","12.00","89.19","1.012","18150"
"2020-02-02 - Canucks 3, Hurricanes 4","Carolina Hurricanes","Limited ReportFull Report","65","58","61","48.74","44","49","47.31","32","35","47.76","3","3","50.00","2.65","3.58","42.53","30","27","52.63","17","13","56.67","12","10","54.55","3","2","60.00","25.00","80.00","13","14","48.15","6","9","40.00","0","0","-","0.00","100.00","24","29","45.28","14","16","46.67","0","1","0.00","0.00","93.75","9.38","91.43","1.008","15767"
"2020-02-04 - Hurricanes 3, Blues 6","Carolina Hurricanes","Limited ReportFull Report","60","46","37","55.42","35","34","50.72","28","26","51.85","3","6","33.33","2.26","2.56","46.90","26","22","54.17","11","11","50.00","7","9","43.75","2","3","40.00","28.57","66.67","15","11","57.69","10","7","58.82","0","1","0.00","0.00","85.71","16","14","53.33","8","10","44.44","1","2","33.33","12.50","80.00","10.71","76.92","0.876","18096"
"2020-02-06 - Hurricanes 5, Coyotes 3","Carolina Hurricanes","Limited ReportFull Report","60","54","60","47.37","41","46","47.13","31","33","48.44","5","3","62.50","3.61","3.25","52.67","22","32","40.74","12","14","46.15","9","12","42.86","4","2","66.67","44.44","83.33","10","18","35.71","4","6","40.00","1","0","100.00","25.00","100.00","26","22","54.17","16","11","59.26","0","1","0.00","0.00","90.91","16.13","90.91","1.070","11632"
"2020-02-08 - Hurricanes 6, Golden Knights 5","Carolina Hurricanes","Limited ReportFull Report","65","60","68","46.88","43","54","44.33","34","38","47.22","5","5","50.00","1.79","2.86","38.50","21","34","38.18","10","16","38.46","8","12","40.00","3","4","42.86","37.50","66.67","11","18","37.93","9","9","50.00","0","1","0.00","0.00","88.89","34","27","55.74","13","13","50.00","2","0","100.00","15.38","100.00","14.71","86.84","1.015","18417"
"2020-02-11 - Hurricanes 1, Stars 4","Carolina Hurricanes","Limited ReportFull Report","60","52","65","44.44","35","51","40.70","25","37","40.32","1","4","20.00","1.7","3.39","33.41","25","36","40.98","12","16","42.86","5","11","31.25","0","0","-","0.00","100.00","13","20","39.39","7","14","33.33","1","3","25.00","14.29","78.57","20","25","44.44","11","10","52.38","0","1","0.00","0.00","90.00","4.00","89.19","0.932","18532"
"2020-02-14 - Devils 2, Hurricanes 5","Carolina Hurricanes","Limited ReportFull Report","60","64","49","56.64","47","45","51.09","31","37","45.59","5","2","71.43","3.21","3.7","46.46","35","26","57.38","10","16","38.46","8","12","40.00","4","1","80.00","50.00","91.67","25","10","71.43","11","8","57.89","0","1","0.00","0.00","87.50","21","21","50.00","11","15","42.31","1","0","100.00","9.09","100.00","16.13","94.59","1.107","18680"
"2020-02-16 - Oilers 4, Hurricanes 3","Carolina Hurricanes","Limited ReportFull Report","63.95","56","46","54.90","46","32","58.97","31","24","56.36","3","4","42.86","2.43","2.45","49.87","22","21","51.16","12","12","50.00","8","7","53.33","2","3","40.00","25.00","57.14","10","9","52.63","7","7","50.00","0","1","0.00","0.00","85.71","32","16","66.67","15","10","60.00","1","0","100.00","6.67","100.00","9.68","83.33","0.930","18680"
"2020-02-18 - Hurricanes 4, Predators 1","Carolina Hurricanes","Limited ReportFull Report","60","67","50","57.26","50","36","58.14","30","29","50.85","4","1","80.00","3.63","1.78","67.04","33","16","67.35","14","7","66.67","11","5","68.75","3","1","75.00","27.27","80.00","19","9","67.86","8","4","66.67","1","0","100.00","12.50","100.00","30","29","50.85","9","16","36.00","0","0","-","0.00","100.00","13.33","96.55","1.099","17204"
"2020-02-21 - Rangers 5, Hurricanes 2","Carolina Hurricanes","Limited ReportFull Report","60","63","57","52.50","39","49","44.32","29","36","44.62","2","5","28.57","2.81","3.97","41.43","28","29","49.12","10","12","45.45","8","10","44.44","1","3","25.00","12.50","70.00","18","17","51.43","7","14","33.33","1","1","50.00","14.29","92.86","23","25","47.92","12","11","52.17","0","1","0.00","0.00","90.91","6.90","86.11","0.930","18680"
"2020-02-22 - Hurricanes 6, Maple Leafs 3","Carolina Hurricanes","Limited ReportFull Report","60","76","49","60.80","64","37","63.37","47","26","64.38","6","3","66.67","5.04","3","62.70","50","36","58.14","26","14","65.00","18","11","62.07","4","2","66.67","22.22","81.82","24","22","52.17","15","12","55.56","2","1","66.67","13.33","91.67","23","10","69.70","12","3","80.00","0","0","-","0.00","100.00","12.77","88.46","1.012","19414"
"2020-02-25 - Stars 4, Hurricanes 1","Carolina Hurricanes","Limited ReportFull Report","60","65","29","69.15","51","24","68.00","41","16","71.93","1","4","20.00","3.25","1.9","63.14","33","19","63.46","12","8","60.00","7","6","53.85","1","3","25.00","14.29","50.00","21","11","65.63","11","6","64.71","0","1","0.00","0.00","83.33","29","7","80.56","21","3","87.50","0","0","-","0.00","100.00","2.44","75.00","0.774","18176"
